City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Knysna,-34.0363,23.0471,67.8,95,17,5.73,ZA,2022-12-08 19:50:36
1,Luanda,-8.8368,13.2343,78.8,83,75,8.05,AO,2022-12-08 19:50:36
2,Rikitea,-23.1203,-134.9692,75.04,79,32,16.15,PF,2022-12-08 19:49:20
3,Chuy,-33.6971,-53.4616,88.2,42,0,11.86,UY,2022-12-08 19:50:37
4,Airai,-8.9266,125.4092,57.94,88,66,2.48,TL,2022-12-08 19:50:37
5,Tangzhai,34.4328,116.5911,43.47,79,94,3.2,CN,2022-12-08 19:50:37
6,Ifo,6.8144,3.1958,82.02,74,8,6.15,NG,2022-12-08 19:50:37
7,Kodiak,57.79,-152.4072,29.71,51,0,16.11,US,2022-12-08 19:47:10
8,Canby,45.2629,-122.6926,45.14,95,100,7.0,US,2022-12-08 19:50:38
9,Kaitangata,-46.2817,169.8464,57.49,92,100,0.85,NZ,2022-12-08 19:50:38
10,Mataura,-46.1927,168.8643,58.33,72,100,0.34,NZ,2022-12-08 19:50:38
11,Mount Isa,-20.7333,139.5,82.17,15,3,9.22,AU,2022-12-08 19:50:39
12,Puerto Plata,19.7934,-70.6884,78.64,73,40,5.75,DO,2022-12-08 19:50:39
13,Ribeira Grande,38.5167,-28.7,59.77,82,20,11.99,PT,2022-12-08 19:50:39
14,Doctor Juan Manuel Frutos,-25.3667,-55.8,92.93,46,77,1.88,PY,2022-12-08 19:50:40
15,Quarteira,37.0695,-8.1006,61.95,88,20,3.44,PT,2022-12-08 19:50:40
16,Bara,10.3744,10.7288,73.15,24,14,8.59,NG,2022-12-08 19:50:40
17,Poum,-20.2333,164.0167,80.96,76,3,11.97,NC,2022-12-08 19:50:41
18,Norman Wells,65.282,-126.8329,-25.56,75,75,0.0,CA,2022-12-08 19:50:41
19,Sitka,57.0531,-135.33,35.49,75,75,13.8,US,2022-12-08 19:50:41
20,Punta Arenas,-53.15,-70.9167,50.11,57,20,13.8,CL,2022-12-08 19:50:42
21,Husavik,66.0449,-17.3389,29.1,80,100,19.95,IS,2022-12-08 19:45:58
22,Krutaya Gorka,55.3649,73.2231,-9.72,94,15,9.98,RU,2022-12-08 19:50:42
23,Port Alfred,-33.5906,26.891,74.17,95,100,8.01,ZA,2022-12-08 19:50:42
24,Jiuquan,39.7432,98.5174,20.25,72,91,2.13,CN,2022-12-08 19:50:43
25,Upernavik,72.7868,-56.1549,30.45,69,100,12.57,GL,2022-12-08 19:50:43
26,Barrow,71.2906,-156.7887,10.42,85,100,8.05,US,2022-12-08 19:50:43
27,Mar Del Plata,-38.0023,-57.5575,85.82,32,0,11.5,AR,2022-12-08 19:49:44
28,Georgetown,5.4112,100.3354,78.89,91,20,2.3,MY,2022-12-08 19:50:44
29,Albany,42.6001,-73.9662,47.39,68,96,5.01,US,2022-12-08 19:50:44
30,Kirakira,-10.4544,161.9205,80.92,81,100,2.35,SB,2022-12-08 19:50:44
31,Kavieng,-2.5744,150.7967,81.19,81,100,9.53,PG,2022-12-08 19:50:45
32,Cabo San Lucas,22.8909,-109.9124,85.6,56,62,6.44,MX,2022-12-08 19:49:58
33,Kapaa,22.0752,-159.319,80.92,73,75,17.27,US,2022-12-08 19:50:45
34,Roald,62.5833,6.1333,32.14,64,0,10.36,NO,2022-12-08 19:50:46
35,Stornoway,58.2093,-6.3865,35.04,82,20,3.44,GB,2022-12-08 19:50:46
36,Busselton,-33.65,115.3333,54.03,76,51,6.11,AU,2022-12-08 19:50:46
37,Liverpool,53.4106,-2.9779,35.29,81,20,4.61,GB,2022-12-08 19:50:46
38,Moose Factory,51.2585,-80.6094,1.4,78,100,10.36,CA,2022-12-08 19:50:47
39,Kupang,-10.1667,123.5833,77.18,84,97,6.96,ID,2022-12-08 19:50:47
40,Tuktoyaktuk,69.4541,-133.0374,-23.8,69,20,10.36,CA,2022-12-08 19:50:47
41,Leningradskiy,69.3833,178.4167,-18.26,92,20,4.23,RU,2022-12-08 19:50:48
42,Grand Gaube,-20.0064,57.6608,77.4,75,7,8.99,MU,2022-12-08 19:50:48
43,Sistranda,63.7256,8.834,31.57,61,62,24.74,NO,2022-12-08 19:50:48
